,所在地址,小区名称,总价格,单价,房屋基本信息,房屋交易属性信息,房屋特色
0,"['黄陂', '盘龙城']",['F水星城'],['88'],['8078'],"{'房屋户型': '3室2厅1厨2卫', '所在楼层': '低楼层 (共32层)', '建筑面积': '108.94㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨2卫', '所在楼层': '低楼层 (共32层)', '建筑面积': '108.94㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '一线湖景 精装三房 老证 中间楼层 南北双阳台 户型方正', '小区介绍': '该小区是2019年6月中旬交的房，总建筑面积193500平方米，占地面积53554平方米，共计806户。物业也是武汉瑞维工贸物业', '周边配套': '小区出门步行1000米（来源百度地图）有中百仓储、麦德龙购物广场，生鲜市，生活便利，配套齐全', '交通出行': '小区出门600米（来源百度地图）有公交站，298、296、286、265、P33、P123等数条公交线路，可直达地铁2'}"
1,"['武昌', '武昌火车站']",['晒湖小区'],['40'],['9255'],"{'房屋户型': '1室1厅1厨1卫', '所在楼层': '高楼层 (共7层)', '建筑面积': '43.22㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '塔楼', '房屋朝向': '南', '建筑结构': '混合结构', '装修情况': '简装', '梯户比例': '暂无数据', '配备电梯': '无', '楼层高度': '暂无数据'}","{'房屋户型': '1室1厅1厨1卫', '所在楼层': '高楼层 (共7层)', '建筑面积': '43.22㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '塔楼', '房屋朝向': '南', '建筑结构': '混合结构', '装修情况': '简装', '梯户比例': '暂无数据', '配备电梯': '无', '楼层高度': '暂无数据'}","{'核心卖点': '户型好，通透采光好，总价格低，安静适合居住。', '小区介绍': '小区房子处于二环线边，出门边上就有BRT通道，交通较为方便，相邻武昌区和洪山区，距离火车站500m，距离中南，梅苑商圈方便', '周边配套': '商场：中商南湖平价、中百仓储 医院：南湖门诊 邮局：南湖邮局 银行：建设银行、招商银行、中信实业银行 其他：大浪淘沙、群众艺术馆、军区梅苑干休所、中青网络家园 小区内部配套：健身场所、幼儿园。', '交通出行': '位于雄楚大道晒湖路29号，地理位置好，出小区就是晒湖小区车站。公交：312路、318路、529路、543路、556路、571路、587路、706路、72路等多路公交车路线，另有快速公交BRT静安路站，公共交通出行便利。'}"
2,"['东湖高新', '民族大道']",['保利时代北区'],['150'],['20501'],"{'房屋户型': '2室2厅1厨1卫', '所在楼层': '中楼层 (共33层)', '建筑面积': '73.17㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板塔结合', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯五户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '2室2厅1厨1卫', '所在楼层': '中楼层 (共33层)', '建筑面积': '73.17㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板塔结合', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯五户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '经典小两房，看房随时，高楼层，精装修', '小区介绍': '保利时代为设计师精心打造，竹木成林，五重垂直绿化，您一步一景，居住舒适。环境优雅，保利自持物业，保安巡逻给你一个安静惬意舒适的居住环境。', '户型介绍': '客厅带阳台朝南，主卧次卧朝南，客卧朝南，厨房、卫生间全明，高区，阳光视野无遮挡、采光明亮。', '周边配套': '小区自带幼儿园，篮球场。保利时代广场，K11购物广场，光谷天地等配套，新竹路菜市场就在小区旁边距离500米左右，距离三医院2000米左右，生活便利。保利时代为设计师精心打造，竹木成林，五重垂直绿化，您一步一景，居住舒适。环境优雅，保利自持物业。', '交通出行': '301路 327路 510路 715路 755路 757路 785路 789路 903路 909路 912路 922路至金地太阳城站或搭乘光谷有轨电车L1号至新竹路站下车步行350米即到保利时代，公交路线丰富，四通八达；小区距离光谷地铁站。'}"
3,"['洪山', '白沙洲']",['烽火▪崇文蘭庭'],['85'],['11882'],"{'房屋户型': '2室1厅1厨1卫', '所在楼层': '中楼层 (共32层)', '建筑面积': '71.54㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '简装', '梯户比例': '两梯七户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '2室1厅1厨1卫', '所在楼层': '中楼层 (共32层)', '建筑面积': '71.54㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '简装', '梯户比例': '两梯七户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '交通便利，采光好，总价低，中间楼层。', '小区介绍': '2017年底完工交房的小区，次新房。低公摊，两室一卫，大客厅，阳台、主卧朝南，全天日照时间长。这套房子是两梯六户的', '交通出行': '小区门口是地铁五号线张家湾站，公交站。距7号线建安街站1800米，有直达公交。区域环线交通优越，白沙洲大道高架，杨泗港快速路，三环线，二环线等，四通八达。', '权属抵押': '产权清晰，无抵押，无贷款，购买可公积金贷款，目前可以首付两成，'}"
4,"['江夏', '文化大道']",['名城8090'],['40'],['9858'],"{'房屋户型': '1室1厅1厨1卫', '所在楼层': '高楼层 (共19层)', '建筑面积': '40.58㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯二十三户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '1室1厅1厨1卫', '所在楼层': '高楼层 (共19层)', '建筑面积': '40.58㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯二十三户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '此小区位于大学城旁，此房经典户型，交通便利，购..', '小区介绍': '小区楼下是大花岭吃喝一条街，吃喝无忧，该楼盘小户型居多，开发商是武汉8090房地产有限公司，旁边几个大型的菜场，，旁边有大学城医院，步行街热闹非凡。', '税费解析': '满二： 此房为70年住宅商品房 税费金额：过户需要缴纳1%个人所得税，首套契税1.5%，二套契税2%，满二无增值税。', '装修描述': '装修：此房是业主自住居家装修，选用的装修材料都是比较好的，买来收拾一下即可拎包入住。'}"
5,"['洪山', '老南湖']",['保利公园九里'],['38'],['10533'],"{'房屋户型': '1室1厅1厨1卫', '所在楼层': '中楼层 (共29层)', '建筑面积': '36.08㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '六梯三十五户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '1室1厅1厨1卫', '所在楼层': '中楼层 (共29层)', '建筑面积': '36.08㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '六梯三十五户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '此房视野开阔，采光充足，配套设施齐全，交通便利', '小区介绍': '小区是保利集团，物业管理很好，分为一二三四五期，人车分流每个路口都有保安站岗 每一条路都有摄像监控，停车位是1:0.7 内设游泳池在1栋这里，还有篮球场，还有汽车充电装，小区很干净清洁工人都是早中晚在清扫', '交通出行': '小区门口就有613路625路始发站点，过桥就有916路，距离7号线建安街站大概1000米（数据来源于百度地图），开车出行小区往左直上白沙洲高架桥，往右在建直通白沙洲高架。'}"
6,"['沌口开发区', '沌口']",['万科金域蓝湾'],['125'],['13942'],"{'房屋户型': '3室2厅1厨1卫', '所在楼层': '高楼层 (共34层)', '建筑面积': '89.66㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨1卫', '所在楼层': '高楼层 (共34层)', '建筑面积': '89.66㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '万科金域蓝湾 精装修 采光无遮挡 产证清晰 交易简单', '小区介绍': '此小区总建筑面积约53万方，与江汉大学相邻，有风景秀丽的后官湖为伴，7重归家礼仪，领阅私家园林礼制；RE私人管家服务，定制尊贵与享受的服务标准；万科是房地产的打品牌，有保障。小区环境优美。私密性好。物业服务专业一站式服务', '周边配套': '小区西面是蔡家大市场，开发区最齐全的菜市场。北面是开发区一高中还有江汉大学。东南面直线距离800米有地铁3号线和6号线。位子好，配套齐全，出行便利。生活工作都很方便。', '交通出行': '可乘坐公交202路; 205路; 325路; 347路; 351路; 385路; 579路; 585路; 597路; 654路; yx351路; 交通便利'}"
7,"['东湖高新', '金融港']",['长城达尚城'],['93.8'],['11027'],"{'房屋户型': '2室2厅1厨1卫', '所在楼层': '低楼层 (共27层)', '建筑面积': '85.07㎡', '户型结构': '平层', '套内面积': '65.39㎡', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '两梯六户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '2室2厅1厨1卫', '所在楼层': '低楼层 (共27层)', '建筑面积': '85.07㎡', '户型结构': '平层', '套内面积': '65.39㎡', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '两梯六户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '长城达尚城，满二，毛坯，中间楼层，万科物业', '小区介绍': '长城建设开发，围合式小区，2019年10月交房，次新小区，有地下车库，小区万科物业，环境绿化好，小区刚满2年，小区是属于东湖高新区，物业费2.38元，小区内部配套有篮球场，羽毛球场，幼儿园和儿童游乐设施，刚需小户型居多，有地下车库', '税费解析': '不动产证满2年，首套二套契税都是1%，个人所得税1%，免交增值税，', '交通出行': '小区的旁边有757，789，909等多路公交到光谷广场及武汉三镇 ，地铁2号线延长线佛祖岭站，离有轨电车L1佛祖岭站距离395米（高德地图显示），交通方便。'}"
8,"['黄陂', '盘龙城']",['汉飞洋房印象'],['55'],['7479'],"{'房屋户型': '2室2厅1厨1卫', '所在楼层': '低楼层 (共7层)', '建筑面积': '73.54㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '一梯三户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '2室2厅1厨1卫', '所在楼层': '低楼层 (共7层)', '建筑面积': '73.54㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '一梯三户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '此房毛坯，产证满两年，一楼带花园采光充足，出行方便。', '户型介绍': '此房是毛坯，两室两厅一厨一卫，主卧朝南，适合有老人小孩居住。', '周边配套': '盘龙古肆·巢立方、武汉百联奥特莱斯广场、武汉武商量贩腾龙大道店、湖北武汉中百仓储盘龙城店、武汉环球广场、武汉盘龙城万达广场（天纵城广场）、绿地天河国际会展城。', '交通出行': '交通：公交站点——甲宝山路殷家湾站，公交路线——396路、P142路，地铁站点——盘龙城站、巨龙大道站、汤云海站，地铁线路——武汉地铁2号线、武汉地铁7号线。'}"
9,"['江夏', '藏龙岛']",['保利清能西海岸南区'],['126'],['9888'],"{'房屋户型': '4室2厅1厨2卫', '所在楼层': '高楼层 (共27层)', '建筑面积': '127.43㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '东南 南', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '4室2厅1厨2卫', '所在楼层': '高楼层 (共27层)', '建筑面积': '127.43㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '东南 南', '建筑结构': '钢混结构', '装修情况': '毛坯', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '此房产证满2年 后期税费少 户型方正很通透 业主诚心卖！', '小区介绍': '小区位于杨桥湖大道与栗庙路交汇处，由保利和清能两大开发商联合开发的，物业是保利的物业，小区自带幼儿园游泳池篮球场，人车分流，物业管理严格。', '税费解析': '房子产证满2年首套房免除5.3%的增值税及附加，只用交个税：1%，契税首套1.5%（二套2%）。', '周边配套': '果树生鲜店、阳光100步行街、中百仓储、好又多生鲜果蔬、阳光时尚街；藏龙岛高尔夫、藏龙岛国家湿地公园、罗马春天奥特莱斯；银行：建设银行、招商银行、农业银行、民生银行、农商行、工商银行；武汉大学人民医院东院、侨亚博爱康复医院。', '交通出行': '小区位于杨桥湖大道与栗庙路交汇处，多路公交直达金融港光谷商圈，758,781，732等，距离2号线延长线终点站4公里（源自百度地图）'}"
