ID,type,type,coordinates,小区名,区域,户型,面积,朝向,装修风,楼层,房屋类,价格,备注,链接,properties.经纬度,properties.NEAR_FID,properties.NEAR_DIST,latitude,longitude
1,Feature,Point,"[114.379312427, 30.629093269]",江南春城,青山,5室2厅,175.77平米,南 北,简装,中楼层(共28层),板塔结合,325万,江南春城 大平层 两梯三户 有入户花园 南北通透,https://wh.lianjia.com/ershoufang/104110843025.html,"114.379214,30.628987",131628,0.000144848109237,114.379312427,30.629093269
2,Feature,Point,"[114.25974254, 30.480975109]",万科金色城市23地块,白沙洲,3室2厅,93.46平米,南 北,精装,中楼层(共28层),板楼,148万,双阳台好楼层，小区中间不临街，产证满二年 可看江,https://wh.lianjia.com/ershoufang/104110842736.html,"114.259821,30.481104",49447,0.000150893622155,114.25974254,30.480975109
3,Feature,Point,"[114.322949, 30.502436]",水域天际,南湖沃尔玛,4室2厅,127.41平米,南 北,精装,高楼层(共6层),塔楼,400万,水域精装四房，z央空调加暖气，满五唯一，带地下车位,https://wh.lianjia.com/ershoufang/104110851500.html,"114.322949,30.502436",98498,0.0,114.322949,30.502436
4,Feature,Point,"[114.288205389, 30.4770536886]",喜瑞都,白沙洲,3室2厅,102.84平米,南,毛坯,中楼层(共34层),塔楼,160万,喜瑞都 3室2厅 南,https://wh.lianjia.com/ershoufang/104110872432.html,"114.285215,30.477057",71558,0.00299039083371,114.288205389,30.4770536886
5,Feature,Point,"[114.322240336, 30.4951843512]",保利中央公馆,新南湖,4室2厅,134.08平米,南 北,精装,高楼层(共34层),板楼,298万,新南湖 公馆精装修大四房 楼层好，视野开阔，随时可看,https://wh.lianjia.com/ershoufang/104110875213.html,"114.322219,30.495080",98580,0.000106510083395,114.322240336,30.4951843512
6,Feature,Point,"[114.416287, 30.405538]",保利清能西海岸北区,藏龙岛,3室2厅,88.23平米,东南,精装,低楼层(共27层),板楼,117万,精装未入住 湖景房 无遮挡 采光好,https://wh.lianjia.com/ershoufang/104110851394.html,"114.416287,30.405538",151625,0.0,114.416287,30.405538
7,Feature,Point,"[114.190390246, 30.5418945677]",保利香颂二期,王家湾,3室2厅,99.77平米,南,精装,中楼层(共25层),板塔结合,175万,店长推荐，满二精装好楼层，视野开阔采光好,https://wh.lianjia.com/ershoufang/104110872049.html,"114.190391,30.541896",18234,1.61883100457e-06,114.190390246,30.5418945677
8,Feature,Point,"[114.153023227, 30.6419551172]",沿海赛洛城,金银湖,3室2厅,134.45平米,南 北,毛坯,低楼层(共10层),板楼,148万,沿海赛洛城一楼带80平米院子  朝向好 产权清晰,https://wh.lianjia.com/ershoufang/104110869781.html,"114.154434,30.642116",8934,0.00141991680494,114.153023227,30.6419551172
9,Feature,Point,"[114.311997993, 30.6430127187]",怡和苑南区,百步亭,3室2厅,136.39平米,南 北,精装,高楼层(共6层),板楼,185万,老证精装，全新未入住，现可拎包入住，经典复式三房,https://wh.lianjia.com/ershoufang/104110748708.html,"114.311105,30.641136",88755,0.00207834298828,114.311997993,30.6430127187
10,Feature,Point,"[114.368181025, 30.56289127]",东湖林语,东湖东亭,3室2厅,129.08平米,南 北,精装,低楼层(共6层),板楼,365万,东湖边的洋房 一梯两户 低公摊 满两年 8号线地铁,https://wh.lianjia.com/ershoufang/104109012821.html,"114.368694,30.563387",126157,0.000713366376156,114.368181025,30.56289127
11,Feature,Point,"[114.315657938, 30.5596754501]",阳光水岸,楚河汉街,6室2厅,206.41平米,南 北,精装,高楼层(共11层),板楼,371万,七号地铁口旁边小高层顶楼复通透户型，房东诚心出售,https://wh.lianjia.com/ershoufang/104109500907.html,"114.317960,30.562337",94012,0.00351899663555,114.315657938,30.5596754501
12,Feature,Point,"[114.221635858, 30.52554207]",观澜国际,四新,3室2厅,94.56平米,南 北,精装,低楼层(共34层),板塔结合,132万,满五唯一，户型南北通透，看房随时，诚心售，无尾款,https://wh.lianjia.com/ershoufang/104110844376.html,"114.221633,30.525599",28246,5.70016934339e-05,114.221635858,30.52554207
